,iso3_country,tCO2eq,begin_date,end_date
0,ABW,17457.260553237356,2019-01-01,2019-12-31
1,AFG,16235135.328821724,2019-01-01,2019-12-31
2,AGO,4726767.758397001,2019-01-01,2019-12-31
3,AIA,2637.2867187399024,2019-01-01,2019-12-31
4,ALA,13324.940358186705,2019-01-01,2019-12-31
5,ALB,2238754.7243537665,2019-01-01,2019-12-31
6,AND,16251.295995374425,2019-01-01,2019-12-31
7,ANT,,2019-01-01,2019-12-31
8,ARE,1670091.4979293079,2019-01-01,2019-12-31
9,ARG,17090029.622805294,2019-01-01,2019-12-31
10,ARM,4741611.104692318,2019-01-01,2019-12-31
11,ASM,,2019-01-01,2019-12-31
12,ATA,,2019-01-01,2019-12-31
13,ATF,,2019-01-01,2019-12-31
14,ATG,23185.42918496331,2019-01-01,2019-12-31
15,AUS,4652425.79828523,2019-01-01,2019-12-31
16,AUT,12231946.882669827,2019-01-01,2019-12-31
17,AZE,16195752.985980365,2019-01-01,2019-12-31
18,BDI,1752624.1951358377,2019-01-01,2019-12-31
19,BEL,14884755.797541648,2019-01-01,2019-12-31
20,BEN,1940498.8714851271,2019-01-01,2019-12-31
21,BES,25723.362297718162,2019-01-01,2019-12-31
22,BFA,3299053.4966749884,2019-01-01,2019-12-31
23,BGD,33655254.22767195,2019-01-01,2019-12-31
24,BGR,10801814.953810679,2019-01-01,2019-12-31
25,BHR,740255.3200043855,2019-01-01,2019-12-31
26,BHS,82074.30714888626,2019-01-01,2019-12-31
27,BIH,4702581.926040737,2019-01-01,2019-12-31
28,BLM,2647.757092401141,2019-01-01,2019-12-31
29,BLR,14619896.164979799,2019-01-01,2019-12-31
30,BLZ,88379.96375262755,2019-01-01,2019-12-31
31,BMU,,2019-01-01,2019-12-31
32,BOL,2238786.079207753,2019-01-01,2019-12-31
33,BRA,44267770.24416721,2019-01-01,2019-12-31
34,BRB,59243.712976572824,2019-01-01,2019-12-31
35,BRN,84795.4591520711,2019-01-01,2019-12-31
36,BTN,192559.0676936909,2019-01-01,2019-12-31
37,BVT,,2019-01-01,2019-12-31
38,BWA,375828.95775579545,2019-01-01,2019-12-31
39,CAF,761644.1367736309,2019-01-01,2019-12-31
40,CAN,117796457.76881173,2019-01-01,2019-12-31
41,CCK,,2019-01-01,2019-12-31
42,CHE,11066802.73617229,2019-01-01,2019-12-31
43,CHL,12005170.2188809,2019-01-01,2019-12-31
44,CHN,2155250583.162139,2019-01-01,2019-12-31
45,CIV,4151045.4147905535,2019-01-01,2019-12-31
46,CMR,3928821.863331418,2019-01-01,2019-12-31
47,COD,13910678.558134144,2019-01-01,2019-12-31
48,COG,870770.9508797355,2019-01-01,2019-12-31
49,COK,,2019-01-01,2019-12-31
50,COL,9359296.016218489,2019-01-01,2019-12-31
51,COM,126759.25004377475,2019-01-01,2019-12-31
52,CPV,,2019-01-01,2019-12-31
53,CRI,1143520.7363266612,2019-01-01,2019-12-31
54,CUB,2543677.6258773957,2019-01-01,2019-12-31
55,CUW,35338.30070469066,2019-01-01,2019-12-31
56,CXR,,2019-01-01,2019-12-31
57,CYM,4461.750368784117,2019-01-01,2019-12-31
58,CYP,282698.9286755275,2019-01-01,2019-12-31
59,CZE,14584477.670584824,2019-01-01,2019-12-31
60,DEU,107426717.49272296,2019-01-01,2019-12-31
61,DJI,165437.87475099313,2019-01-01,2019-12-31
62,DMA,16557.35395049931,2019-01-01,2019-12-31
63,DNK,3750497.986671842,2019-01-01,2019-12-31
64,DOM,2350794.431556568,2019-01-01,2019-12-31
65,DZA,13386589.175086165,2019-01-01,2019-12-31
66,ECU,3291392.9519082378,2019-01-01,2019-12-31
67,EGY,25336861.17602753,2019-01-01,2019-12-31
68,ERI,561393.0766658677,2019-01-01,2019-12-31
69,ESH,158915.2033352042,2019-01-01,2019-12-31
70,ESP,22119667.127331108,2019-01-01,2019-12-31
71,EST,2038262.4560045083,2019-01-01,2019-12-31
72,ETH,18428089.68092974,2019-01-01,2019-12-31
73,FIN,11024625.529420253,2019-01-01,2019-12-31
74,FJI,127319.6776293073,2019-01-01,2019-12-31
75,FLK,5193.143488547099,2019-01-01,2019-12-31
76,FRA,62462216.705776066,2019-01-01,2019-12-31
77,FRO,63568.9572432554,2019-01-01,2019-12-31
78,FSM,,2019-01-01,2019-12-31
79,GAB,329579.8861927177,2019-01-01,2019-12-31
80,GBR,96707477.65721025,2019-01-01,2019-12-31
81,GEO,5900406.962057677,2019-01-01,2019-12-31
82,GGY,44283.458810787895,2019-01-01,2019-12-31
83,GHA,4882439.696050917,2019-01-01,2019-12-31
84,GIB,17982.812254032287,2019-01-01,2019-12-31
85,GIN,1963506.9150698748,2019-01-01,2019-12-31
86,GLP,89348.5928898498,2019-01-01,2019-12-31
87,GMB,358905.39817834215,2019-01-01,2019-12-31
88,GNB,242877.25600566875,2019-01-01,2019-12-31
89,GNQ,210490.9782235431,2019-01-01,2019-12-31
90,GRC,7802043.084311992,2019-01-01,2019-12-31
91,GRD,25535.01332245692,2019-01-01,2019-12-31
92,GRL,175652.13132611342,2019-01-01,2019-12-31
93,GTM,4003791.4727979074,2019-01-01,2019-12-31
94,GUF,52026.161110098146,2019-01-01,2019-12-31
95,GUM,,2019-01-01,2019-12-31
96,GUY,153321.3549079141,2019-01-01,2019-12-31
97,HKG,1739585.5837125434,2019-01-01,2019-12-31
98,HMD,,2019-01-01,2019-12-31
99,HND,2065212.7700399328,2019-01-01,2019-12-31
100,HRV,5547614.598277795,2019-01-01,2019-12-31
101,HTI,2580200.3510229,2019-01-01,2019-12-31
102,HUN,15125562.166249303,2019-01-01,2019-12-31
103,IDN,53808279.37971727,2019-01-01,2019-12-31
104,IMN,108921.9457939702,2019-01-01,2019-12-31
105,IND,274348751.9101688,2019-01-01,2019-12-31
106,IOT,,2019-01-01,2019-12-31
107,IRL,4468384.764110627,2019-01-01,2019-12-31
108,IRN,50391164.737168156,2019-01-01,2019-12-31
109,IRQ,21328717.8293527,2019-01-01,2019-12-31
110,ISL,318418.41732298856,2019-01-01,2019-12-31
111,ISR,4893098.803402804,2019-01-01,2019-12-31
112,ITA,49776975.28611973,2019-01-01,2019-12-31
113,JAM,616502.9567465119,2019-01-01,2019-12-31
114,JEY,56596.59850470883,2019-01-01,2019-12-31
115,JOR,5716206.259352347,2019-01-01,2019-12-31
116,JPN,178243647.85705853,2019-01-01,2019-12-31
117,KAZ,39505163.10442809,2019-01-01,2019-12-31
118,KEN,7730527.907494115,2019-01-01,2019-12-31
119,KGZ,10068765.276981711,2019-01-01,2019-12-31
120,KHM,3277066.631404733,2019-01-01,2019-12-31
121,KIR,,2019-01-01,2019-12-31
122,KNA,12594.275521825031,2019-01-01,2019-12-31
123,KOR,81983631.200404,2019-01-01,2019-12-31
124,KWT,2251861.2173221204,2019-01-01,2019-12-31
125,LAO,1266513.343305604,2019-01-01,2019-12-31
126,LBN,3591881.1003830773,2019-01-01,2019-12-31
127,LBR,713880.8526578969,2019-01-01,2019-12-31
128,LBY,1852182.7326742196,2019-01-01,2019-12-31
129,LCA,40599.20634643054,2019-01-01,2019-12-31
130,LIE,50145.91778388547,2019-01-01,2019-12-31
131,LKA,4417073.40570602,2019-01-01,2019-12-31
132,LSO,415636.29059934383,2019-01-01,2019-12-31
133,LTU,4297948.919345235,2019-01-01,2019-12-31
134,LUX,790616.9260384243,2019-01-01,2019-12-31
135,LVA,2888674.2155362256,2019-01-01,2019-12-31
136,MAC,164018.6318358352,2019-01-01,2019-12-31
137,MAF,8428.094832594279,2019-01-01,2019-12-31
138,MAR,14049767.767227076,2019-01-01,2019-12-31
139,MCO,22474.07911480969,2019-01-01,2019-12-31
140,MDA,4161048.8829259523,2019-01-01,2019-12-31
141,MDG,4175695.920654221,2019-01-01,2019-12-31
142,MDV,,2019-01-01,2019-12-31
143,MEX,32013147.92323591,2019-01-01,2019-12-31
144,MHL,,2019-01-01,2019-12-31
145,MKD,2991278.981393715,2019-01-01,2019-12-31
146,MLI,3114556.4592369283,2019-01-01,2019-12-31
147,MLT,265906.11256307556,2019-01-01,2019-12-31
148,MMR,10968882.21485737,2019-01-01,2019-12-31
149,MNE,740027.060151973,2019-01-01,2019-12-31
150,MNG,7201177.554261906,2019-01-01,2019-12-31
151,MNP,,2019-01-01,2019-12-31
152,MOZ,4540727.588272165,2019-01-01,2019-12-31
153,MRT,704914.9113709589,2019-01-01,2019-12-31
154,MSR,1097.123540765807,2019-01-01,2019-12-31
155,MTQ,83129.13084794796,2019-01-01,2019-12-31
156,MUS,,2019-01-01,2019-12-31
157,MWI,2823508.1033530827,2019-01-01,2019-12-31
158,MYS,6548480.007265228,2019-01-01,2019-12-31
159,MYT,43351.06967129155,2019-01-01,2019-12-31
160,NAM,411910.7003479376,2019-01-01,2019-12-31
161,NCL,37202.282300205836,2019-01-01,2019-12-31
162,NER,3642176.7393486896,2019-01-01,2019-12-31
163,NFK,,2019-01-01,2019-12-31
164,NGA,31891648.59181399,2019-01-01,2019-12-31
165,NIC,1524921.5229033653,2019-01-01,2019-12-31
166,NIU,,2019-01-01,2019-12-31
167,NLD,20603227.910363913,2019-01-01,2019-12-31
168,NOR,4657619.47679929,2019-01-01,2019-12-31
169,NPL,6732226.155948894,2019-01-01,2019-12-31
170,NRU,,2019-01-01,2019-12-31
171,NZL,1907485.4609601314,2019-01-01,2019-12-31
172,OMN,933146.0639393381,2019-01-01,2019-12-31
173,PAK,76669819.46295178,2019-01-01,2019-12-31
174,PAN,950778.7371667327,2019-01-01,2019-12-31
175,PCN,,2019-01-01,2019-12-31
176,PER,6496862.6156625785,2019-01-01,2019-12-31
177,PHL,21778039.75269438,2019-01-01,2019-12-31
178,PLW,,2019-01-01,2019-12-31
179,PNG,1280950.778112683,2019-01-01,2019-12-31
180,POL,55529672.709452525,2019-01-01,2019-12-31
181,PRI,711274.061116038,2019-01-01,2019-12-31
182,PRK,46096980.861880496,2019-01-01,2019-12-31
183,PRT,5002465.524752349,2019-01-01,2019-12-31
184,PRY,1420964.5434883751,2019-01-01,2019-12-31
185,PSE,2684278.4354509604,2019-01-01,2019-12-31
186,PYF,,2019-01-01,2019-12-31
187,QAT,1437287.084407017,2019-01-01,2019-12-31
188,REU,,2019-01-01,2019-12-31
189,ROU,30045310.545984853,2019-01-01,2019-12-31
190,RUS,423585942.6371851,2019-01-01,2019-12-31
191,RWA,1916522.3250124857,2019-01-01,2019-12-31
192,SAU,8803205.995569952,2019-01-01,2019-12-31
193,SCG,,2019-01-01,2019-12-31
194,SDN,6755188.27385613,2019-01-01,2019-12-31
195,SEN,2616871.655435517,2019-01-01,2019-12-31
196,SGP,1105023.442671219,2019-01-01,2019-12-31
197,SGS,,2019-01-01,2019-12-31
198,SHN,,2019-01-01,2019-12-31
199,SJM,,2019-01-01,2019-12-31
200,SLB,97452.46044324976,2019-01-01,2019-12-31
201,SLE,1290369.6583668895,2019-01-01,2019-12-31
202,SLV,1470345.1413023283,2019-01-01,2019-12-31
203,SMR,17499.616230799937,2019-01-01,2019-12-31
204,SOM,2434229.7896355446,2019-01-01,2019-12-31
205,SPM,9469.68255221698,2019-01-01,2019-12-31
206,SRB,10782143.902606262,2019-01-01,2019-12-31
207,SSD,2009956.2423605088,2019-01-01,2019-12-31
208,STP,32602.62031760048,2019-01-01,2019-12-31
209,SUR,102037.02490102354,2019-01-01,2019-12-31
210,SVK,8451667.463622635,2019-01-01,2019-12-31
211,SVN,2883956.4294728246,2019-01-01,2019-12-31
212,SWE,9896410.504450418,2019-01-01,2019-12-31
213,SWZ,190623.45764448596,2019-01-01,2019-12-31
214,SXM,10827.942001590109,2019-01-01,2019-12-31
215,SYC,,2019-01-01,2019-12-31
216,SYR,8994657.249438643,2019-01-01,2019-12-31
217,TCA,17053.260850089293,2019-01-01,2019-12-31
218,TCD,2477533.267175946,2019-01-01,2019-12-31
219,TGO,1224938.0531431795,2019-01-01,2019-12-31
220,THA,13417900.680565558,2019-01-01,2019-12-31
221,TJK,9523042.630285747,2019-01-01,2019-12-31
222,TKL,,2019-01-01,2019-12-31
223,TKM,8591249.095342556,2019-01-01,2019-12-31
224,TLS,234356.75396162595,2019-01-01,2019-12-31
225,TON,1008.6611018926557,2019-01-01,2019-12-31
226,TTO,308353.01983503945,2019-01-01,2019-12-31
227,TUN,4654405.275127293,2019-01-01,2019-12-31
228,TUR,89601370.13196316,2019-01-01,2019-12-31
229,TUV,,2019-01-01,2019-12-31
230,TWN,5110354.739173826,2019-01-01,2019-12-31
231,TZA,8898314.255033934,2019-01-01,2019-12-31
232,UGA,6406799.275859358,2019-01-01,2019-12-31
233,UKR,64716732.59734012,2019-01-01,2019-12-31
234,UMI,,2019-01-01,2019-12-31
235,URY,1057228.717393633,2019-01-01,2019-12-31
236,USA,535199315.0285866,2019-01-01,2019-12-31
237,UZB,49356403.0559127,2019-01-01,2019-12-31
238,VAT,245.1179977231012,2019-01-01,2019-12-31
239,VCT,25071.25423503059,2019-01-01,2019-12-31
240,VEN,6441717.018675427,2019-01-01,2019-12-31
241,VGB,6221.393437298236,2019-01-01,2019-12-31
242,VIR,24385.899044081045,2019-01-01,2019-12-31
243,VNM,19625804.93863767,2019-01-01,2019-12-31
244,VUT,42325.92020025167,2019-01-01,2019-12-31
245,WLF,,2019-01-01,2019-12-31
246,WSM,,2019-01-01,2019-12-31
247,XKX,,2019-01-01,2019-12-31
248,YEM,5770602.834396404,2019-01-01,2019-12-31
249,ZAF,12489487.237646922,2019-01-01,2019-12-31
250,ZMB,2640208.751171324,2019-01-01,2019-12-31
251,ZWE,2446186.9009742304,2019-01-01,2019-12-31
